13.233; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
28.218; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
28.250; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
28.281; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
28.314; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
28.423; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
28.519; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
54.401; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 001F 0000 0014 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0020 0000 0056 0000 0262 FEFE FEFE 72DA ; 72DA; CRC OK;
54.512; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0023 0000 0014 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0071 0000 001B 0000 0049 FEFE FEFE 5A39 ; 5A39; CRC OK;
54.604; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0028 0000 001E 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0009 0000 0035 0000 0228 FEFE FEFE 7807 ; 7807; CRC OK;
54.699; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0020 0000 0014 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0024 0000 0055 0000 024B FEFE FEFE CE74 ; CE74; CRC OK;
54.810; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0024 0000 0014 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0005 0000 004F 0000 0018 0000 003C FEFE FEFE 234E ; 234E; CRC OK;
54.906; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0029 0000 001E 0000 0002 0000 34BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000F 0000 0053 0000 01B6 FEFE FEFE 5FB5 ; 5FB5; CRC OK;
54.999; R; CW 0xED20; AW 0xE800: 0FF1 0D29 002D 0000 001E 0000 0002 0000 3DBC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0013 0000 004F 0000 01FA FEFE FEFE 7E47 ; 7E47; CRC OK;
55.110; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0031 0000 001E 0000 0002 0000 46BC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0059 0000 0018 0000 0042 FEFE FEFE 5905 ; 5905; CRC OK;
55.205; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 002A 0000 001E 0000 0000 0000 34BC 0000 0001 0000 0004 0000 0000 0000 0000 0000 0001 0000 0001 0000 0007 0000 002D 0000 011C 0000 034B FEFE FEFE 575D ; 575D; CRC OK;
55.247; W; CW 0xEA24; AW 0xE800: 000D 0000 2710 0064 
55.410; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 002E 0000 001E 0000 0000 0000 3DBC 0000 0000 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0006 0000 0035 0000 0116 0000 03FC FEFE FEFE 467F ; 467F; CRC OK;
55.504; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0032 0000 001E 0000 0000 0000 46BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 000A 0000 00C2 0000 0043 0000 009B FEFE FEFE 9CF9 ; 9CF9; CRC OK;
59.214; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0003 0000 001E 0001 0000 000E 002B 000A 000A 000A 000A FF00 0011 0401 1100 0015 119F 00E5 0000 0000 0000 0000 000D 0000 0027 FEFE FEFE FEFE FEFE 0A75 ; 0A75; CRC OK;
59.308; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0033 0000 0022 0000 0002 0009 34C0 0000 0002 0000 0002 0000 0003 0000 0007 0000 0014 0000 0048 0000 00C4 0000 005A 0000 0175 0000 9AEE FEFE FEFE ED2D ; ED2D; CRC OK;
59.404; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0034 0000 0022 0000 0002 0009 3DC0 0000 0001 0000 0001 0000 0002 0000 0006 0000 0015 0000 004F 0000 00C9 0000 005A 0000 0075 0000 37DD FEFE FEFE 0AA4 ; 0AA4; CRC OK;
59.499; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0035 0000 0022 0000 0002 0009 46C0 0000 0000 0000 0001 0000 0002 0000 0007 0000 0014 0000 005C 0000 00C3 0000 006E 0000 01E2 0000 CE51 FEFE FEFE DE1F ; DE1F; CRC OK;
59.610; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0028 0000 001E 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0009 0000 0035 0000 0228 FEFE FEFE 7807 ; 7807; CRC OK;
59.704; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 002C 0000 001E 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0035 0000 005B 0000 0208 FEFE FEFE 66F1 ; 66F1; CRC OK;
59.814; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0030 0000 001E 0000 0000 0000 46C0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0046 0000 0022 0000 0034 FEFE FEFE 907B ; 907B; CRC OK;
59.907; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0029 0000 001E 0000 0002 0000 34BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000F 0000 0053 0000 01B6 FEFE FEFE 5FB5 ; 5FB5; CRC OK;
60.002; R; CW 0xED20; AW 0xE800: 0FF1 0D29 002D 0000 001E 0000 0002 0000 3DBC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0013 0000 004F 0000 01FA FEFE FEFE 7E47 ; 7E47; CRC OK;
60.112; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0031 0000 001E 0000 0002 0000 46BC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0059 0000 0018 0000 0042 FEFE FEFE 5905 ; 5905; CRC OK;
