1.166; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.148; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.180; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.212; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.244; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.351; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.445; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
37.139; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0020 0000 0014 0001 000E 0000 002B 0009 0009 000A 0009 FF00 000D 0401 1100 FEFE 0001 080D 0000 0000 0000 0000 0005 0000 0020 FEFE FEFE FEFE FEFE F18F ; F18F; CRC OK;
37.235; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0021 0000 0014 0000 0002 0004 34C0 0000 0000 0000 0000 0000 0000 0002 0000 0006 0000 0009 0000 0008 0000 0083 0000 006D 0000 0481 0000 FEFE FEFE 266D ; 266D; CRC OK;
37.331; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0025 0000 0014 0000 0002 0004 3DC0 0000 0000 0000 0000 0001 0000 0004 0000 0007 0000 0009 0000 0008 0000 0068 0000 0050 0000 026A 0000 FEFE FEFE 2518 ; 2518; CRC OK;
37.440; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0029 0000 0014 0000 0002 0004 46C0 0000 0000 0000 0000 0001 0000 0002 0000 0005 0000 0006 0000 0003 0000 004F 0000 0018 0000 0033 0000 FEFE FEFE 1BB3 ; 1BB3; CRC OK;
37.534; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0022 0000 0014 0000 0000 0004 34C0 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0006 0000 0007 0000 0069 0000 003D 0000 020B 0000 FEFE FEFE C7E8 ; C7E8; CRC OK;
37.643; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0026 0000 0014 0000 0000 0004 3DC0 0000 0000 0000 0000 0000 0000 0002 0000 0004 0000 0007 0000 0009 0000 0063 0000 0057 0000 01EE 0000 FEFE FEFE 6439 ; 6439; CRC OK;
37.737; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 002D 0000 0016 0001 0002 0004 46C0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000B 0000 0034 0000 FEFE FEFE 3531 ; 3531; CRC OK;
37.830; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0023 0000 0014 0000 0001 0005 34BC 0000 0000 0000 0000 0001 0000 0005 0000 000A 0000 0008 0000 000B 0000 00C6 0000 0055 0000 0202 0000 FEFE FEFE FDB4 ; FDB4; CRC OK;
37.940; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0027 0000 0014 0000 0001 0005 3DBC 0000 0000 0000 0000 0001 0000 0005 0000 000C 0000 000B 0000 000A 0000 0096 0000 0050 0000 01F1 0000 FEFE FEFE 641C ; 641C; CRC OK;
38.034; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 002B 0000 0014 0000 0001 0005 46BC 0000 0000 0000 0000 0001 0000 0005 0000 0009 0000 0007 0000 0006 0000 0075 0000 0019 0000 0036 0000 FEFE FEFE 5FB7 ; 5FB7; CRC OK;
