2.316; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
12.308; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
38.796; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0021 0014 0000 0000 0001 0004 3DC0 0000 0000 0000 0000 0000 0000 0003 0000 0007 0000 000A 0000 0010 0000 007A 0000 0056 0000 01F6 0000 FEFE FEFE 3D57 ; 3D57; CRC OK;
38.890; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0025 0014 0000 0000 0001 0004 46C0 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0004 0000 0006 0000 003F 0000 0022 0000 002D 0000 FEFE FEFE 9208 ; 9208; CRC OK;
39.001; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001E 0014 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0012 0000 0066 0000 036A 0000 FEFE FEFE DD97 ; DD97; CRC OK;
39.096; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0022 0014 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0005 0000 0007 0000 FEFE FEFE AFF5 ; AFF5; CRC OK;
39.193; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0026 0014 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0004 0000 0005 0000 FEFE FEFE F99C ; F99C; CRC OK;
39.288; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 001F 0014 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0033 0000 01F0 0000 06E2 0000 FEFE FEFE D0A5 ; D0A5; CRC OK;
39.493; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0023 0014 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0007 0000 FEFE FEFE EAEC ; EAEC; CRC OK;
39.590; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0027 0014 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0008 0000 FEFE FEFE 0230 ; 0230; CRC OK;
43.296; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0028 001E 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE D8AC 0001 0000 0000 0000 0000 0085 0000 0028 0000 0000 0000 0000 A029 ; A029; CRC OK;
43.392; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 001C 0014 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE D2DF ; D2DF; CRC OK;
43.489; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0020 0014 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2670 ; 2670; CRC OK;
43.599; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0024 0014 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 335F ; 335F; CRC OK;
43.695; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 002A 001E 0000 0000 0001 0004 34C0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0009 0000 003D 0000 01D9 0000 FEFE FEFE 2E91 ; 2E91; CRC OK;
43.792; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0021 0014 0000 0000 0001 0004 3DC0 0000 0000 0000 0000 0000 0000 0003 0000 0007 0000 000A 0000 0010 0000 007A 0000 0056 0000 01F6 0000 FEFE FEFE 3D57 ; 3D57; CRC OK;
43.903; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0025 0014 0000 0000 0001 0004 46C0 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0004 0000 0006 0000 003F 0000 0022 0000 002D 0000 FEFE FEFE 9208 ; 9208; CRC OK;
43.998; R; CW 0xED00; AW 0xE800: 0FF1 0D28 002B 001E 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 001F 0000 0071 0000 02EB 0000 FEFE FEFE E50C ; E50C; CRC OK;
44.094; R; CW 0xED20; AW 0xE800: 0FF1 0D29 002F 001E 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0005 0000 0008 0000 FEFE FEFE 2960 ; 2960; CRC OK;
44.203; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0033 001E 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0004 0000 0004 0000 FEFE FEFE E5C3 ; E5C3; CRC OK;
44.299; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 002C 001E 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0066 0000 0248 0000 078A 0000 FEFE FEFE 3796 ; 3796; CRC OK;
44.489; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0030 001E 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0006 0000 FEFE FEFE 88AC ; 88AC; CRC OK;
44.599; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0034 001E 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0002 0000 000B 0000 FEFE FEFE 9503 ; 9503; CRC OK;
48.301; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0028 001E 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE D8AC 0001 0000 0000 0000 0000 0085 0000 0028 0000 0000 0000 0000 A029 ; A029; CRC OK;
